ID_PIVO,UMIDADE,TEMPERATURA,PH,N,P,K,ESTADO_BOMBA,CAPTURADO_EM
p1,56.27,37.52,4.1,7,54,78,OFF,2026-05-19 00:24:04
p2,74,25.32,4,62,40,81,OFF,2026-05-19 00:24:09
p1,80,15.36,5.85,80,15,25,OFF,2026-05-19 00:24:12
p3,63.52,33.97,4.91,76,97,38,OFF,2026-05-19 00:24:12
p1,61,34.33,4,55,87,64,OFF,2026-05-19 00:24:14
p1,58.62,29.14,6.43,80,49,75,ON,2026-05-19 00:24:14
p3,62.54,33.26,6.68,70,15,20,OFF,2026-05-19 00:24:14
p3,72.26,27.17,5.49,16,2,1,OFF,2026-05-19 00:24:17
p1,62.39,23.68,5.09,67,49,38,OFF,2026-05-19 00:24:21
p2,67.29,29.53,4,71,93,66,OFF,2026-05-19 00:24:26
p3,60.34,30.19,5.61,30,61,80,OFF,2026-05-19 00:24:30
p1,78.05,17.33,8.49,2,74,21,OFF,2026-05-19 00:24:36
p2,55.06,34.01,5.83,65,27,80,OFF,2026-05-19 00:24:36
p3,47.39,38.74,6.3,33,40,44,OFF,2026-05-19 00:24:37
p2,57.79,31.2,4,61,14,49,OFF,2026-05-19 00:24:38
p1,56.84,33.2,5.2,72,36,4,OFF,2026-05-19 00:24:41
p3,56.58,36.11,7.35,73,82,59,OFF,2026-05-19 00:24:45
p3,66.67,22.66,4,91,40,15,OFF,2026-05-19 00:24:46
p3,63.17,27.67,6.18,29,53,70,OFF,2026-05-19 00:24:48
p1,80,17.06,6.58,11,77,44,OFF,2026-05-19 00:24:49
p1,79.7,16.98,5.86,3,88,50,OFF,2026-05-19 00:24:50
p1,74.1,23.83,7.2,22,90,66,OFF,2026-05-19 00:24:59
p3,72.16,19.53,4.4,73,46,88,OFF,2026-05-19 00:24:59
p2,77.56,22.99,6.56,14,61,14,OFF,2026-05-19 00:25:00
p1,65.43,25.87,4,30,84,82,OFF,2026-05-19 00:25:04
p2,77.21,15.28,4.43,9,91,41,OFF,2026-05-19 00:25:08
p1,71.05,29.52,7.17,49,69,52,OFF,2026-05-19 00:25:10
p1,67.84,25.18,6.96,33,69,14,OFF,2026-05-19 00:25:12
p3,73.72,22.81,7.13,95,33,53,OFF,2026-05-19 00:25:13
p2,59.5,24.96,6.49,31,34,95,OFF,2026-05-19 00:25:21
p2,80,17.95,4,43,20,53,OFF,2026-05-19 00:25:22
p2,73.21,17.34,4,39,23,49,OFF,2026-05-19 00:25:23
p3,80,21.02,4,52,28,36,OFF,2026-05-19 00:25:25
p1,77.09,21.09,4,98,3,76,OFF,2026-05-19 00:25:28
p3,71.04,22.57,4,89,69,72,OFF,2026-05-19 00:25:30
p1,57.24,32.3,4,32,90,15,OFF,2026-05-19 00:25:31
p3,63.46,35.42,5.6,12,67,21,OFF,2026-05-19 00:25:32
p3,69.41,24.2,6.55,71,97,16,OFF,2026-05-19 00:25:32
p3,52.52,34.72,4.69,96,64,27,OFF,2026-05-19 00:25:33
p2,57.07,32.03,6.01,77,46,76,ON,2026-05-19 00:25:35
p2,61.91,37.46,6.23,44,64,93,ON,2026-05-19 00:25:38
p2,56.53,27.22,5.68,23,42,96,ON,2026-05-19 00:25:44
p1,67.97,15.68,6.25,19,92,67,OFF,2026-05-19 00:25:46
p1,75.68,19.83,6.14,99,17,50,OFF,2026-05-19 00:25:48
p2,70.15,22.55,7.13,76,27,41,OFF,2026-05-19 00:25:49
p2,69.45,28.23,4.45,65,13,18,OFF,2026-05-19 00:25:50
p3,49.74,38.69,4,75,28,37,ON,2026-05-19 00:25:53
p3,61.66,37.9,5.99,94,53,77,ON,2026-05-19 00:25:53
p3,73.98,20.61,7,98,1,79,OFF,2026-05-19 00:25:56
p2,62.82,29.08,4,22,37,7,ON,2026-05-19 00:25:58
p2,52.55,34.15,5.67,28,29,32,OFF,2026-05-19 00:26:00
p1,71.37,20.63,4.83,94,74,75,OFF,2026-05-19 00:26:06
p2,54.45,37.12,7.19,46,10,69,OFF,2026-05-19 00:26:14
p3,71.45,22.29,6.59,59,43,82,OFF,2026-05-19 00:26:16
p2,70.31,22.97,4.23,51,49,70,OFF,2026-05-19 00:26:18
p1,79.59,26.38,4.11,15,91,73,OFF,2026-05-19 00:26:19
p3,64.37,30.45,6.17,28,58,84,ON,2026-05-19 00:26:21
p2,51.09,34.52,8.32,0,74,58,OFF,2026-05-19 00:26:21
p1,78.29,16.29,6.93,37,100,78,OFF,2026-05-19 00:26:22
p2,56.1,33.41,5.25,72,18,62,OFF,2026-05-19 00:26:24
p1,74.35,21.97,4,92,95,69,OFF,2026-05-19 00:26:24
p1,69.29,25.37,5.73,83,30,76,OFF,2026-05-19 00:26:25
p3,68.41,25.45,4,68,62,87,OFF,2026-05-19 00:26:33
p2,56.11,37,7.96,19,29,22,OFF,2026-05-19 00:26:37
p1,55.34,30.81,6.44,59,35,86,OFF,2026-05-19 00:26:37
p2,62.83,35.24,4,59,69,68,OFF,2026-05-19 00:26:44
p2,51.85,36.97,6.12,25,61,93,ON,2026-05-19 00:26:45
p1,67.24,21.85,4.37,81,90,83,OFF,2026-05-19 00:26:46
p1,80,17.7,6.37,24,12,74,OFF,2026-05-19 00:26:56
p2,71.53,18.13,5.38,89,41,39,OFF,2026-05-19 00:26:58
p1,61.89,30.16,4.23,95,47,80,OFF,2026-05-19 00:27:02
p1,80,15.53,6.23,74,13,23,OFF,2026-05-19 00:27:04
p2,79.84,17.11,6.83,94,49,25,OFF,2026-05-19 00:27:07
p1,67.12,28.33,5.94,100,20,75,ON,2026-05-19 00:27:09
p1,52.29,37.69,5.87,24,17,41,OFF,2026-05-19 00:27:10
p3,60.73,30.63,4.17,34,90,82,OFF,2026-05-19 00:27:12
p1,49.7,36.52,5.59,93,74,50,ON,2026-05-19 00:27:16
p2,52.06,34.05,5.56,69,83,12,OFF,2026-05-19 00:27:16
p3,54.96,34.41,6.28,26,49,19,OFF,2026-05-19 00:27:16
p3,57.93,33.52,7.46,58,22,33,ON,2026-05-19 00:27:19
p1,59.74,39.44,8.53,5,46,58,OFF,2026-05-19 00:27:21
p1,52.4,37.8,4,79,35,4,OFF,2026-05-19 00:27:24
p2,59.24,31.26,7.04,30,33,7,ON,2026-05-19 00:27:26
p3,58.33,33.42,5.66,88,74,58,ON,2026-05-19 00:27:27
p3,57.35,33.9,4.93,90,21,86,ON,2026-05-19 00:27:29
p2,54.22,31.3,7.76,54,27,7,OFF,2026-05-19 00:27:33
p1,71.19,18.06,4.91,3,45,9,OFF,2026-05-19 00:27:35
p2,69.86,25.97,4.3,48,94,52,OFF,2026-05-19 00:27:35
p3,64.38,30.34,5.78,36,64,71,OFF,2026-05-19 00:27:37
p1,49.01,39.25,4.82,91,39,22,ON,2026-05-19 00:27:39
p3,74.55,17.91,6.38,86,94,1,OFF,2026-05-19 00:27:43
p1,74.12,21.83,7.74,36,29,87,OFF,2026-05-19 00:27:44
p1,53.78,32.81,5.3,59,24,70,OFF,2026-05-19 00:27:44
p1,60.64,32.04,4,73,84,79,OFF,2026-05-19 00:27:45
p3,60.07,27.59,4,75,13,91,OFF,2026-05-19 00:27:51
p1,51.22,37.21,5.64,23,16,94,ON,2026-05-19 00:27:52
p3,58.01,21.41,7.09,55,13,9,OFF,2026-05-19 00:27:55
p3,66.66,21.98,6.89,13,4,28,ON,2026-05-19 00:28:03
p2,44.03,39.65,4,7,90,91,ON,2026-05-19 00:28:05
p2,80,17.49,7.37,1,30,99,OFF,2026-05-19 00:28:08
p2,60.83,25.98,8.34,5,43,62,OFF,2026-05-19 00:28:09
p1,74.64,17.67,5.22,15,41,92,OFF,2026-05-19 00:28:09
p2,53.71,38.56,6.55,46,37,63,OFF,2026-05-19 00:28:14
p1,58.77,24.04,7.17,0,21,24,ON,2026-05-19 00:28:17
p1,52.77,36.4,7.03,81,15,88,OFF,2026-05-19 00:28:17
p1,55.39,39.42,5.69,10,27,40,ON,2026-05-19 00:28:18
p1,59.24,32.22,5.09,28,24,52,OFF,2026-05-19 00:28:22
p1,71.82,17.49,7.12,8,15,1,OFF,2026-05-19 00:28:26
p2,62.63,34.27,6.83,21,59,86,OFF,2026-05-19 00:28:26
p3,69.93,21.05,5.51,77,45,22,OFF,2026-05-19 00:28:27
p1,60.83,35.39,5.67,63,6,15,OFF,2026-05-19 00:28:33
p2,74.19,21.66,4,18,59,26,OFF,2026-05-19 00:28:34
p3,54.68,37.37,6.02,22,71,90,OFF,2026-05-19 00:28:35
p1,68.87,23.32,6.86,26,77,5,OFF,2026-05-19 00:28:37
p1,54.5,38.15,4.96,92,36,87,OFF,2026-05-19 00:28:39
p2,57.49,33,6.44,81,22,34,OFF,2026-05-19 00:28:40
p3,49.15,36.57,5,88,95,95,OFF,2026-05-19 00:28:41
p3,63.02,31.85,4,77,91,26,OFF,2026-05-19 00:28:42
p2,57.65,30.63,4.12,74,97,68,OFF,2026-05-19 00:28:42
p2,45.78,39.33,4,99,2,62,OFF,2026-05-19 00:28:46
p2,58.72,34.66,6.39,32,12,51,OFF,2026-05-19 00:28:52
p1,58.43,30.39,6.39,9,96,26,OFF,2026-05-19 00:28:58
p2,64.22,27.1,4.47,21,41,58,ON,2026-05-19 00:29:04
p2,61.55,31.3,6.97,35,48,43,OFF,2026-05-19 00:29:04
p1,80,20.96,5.06,65,87,63,OFF,2026-05-19 00:29:05
p3,69.49,17.59,7.12,6,16,61,OFF,2026-05-19 00:29:05
p1,77.09,23.49,7.52,21,3,72,ON,2026-05-19 00:29:07
p2,57.33,37.87,6.72,56,42,63,OFF,2026-05-19 00:29:08
p2,51.97,39.31,7.23,90,33,96,OFF,2026-05-19 00:29:09
p1,64.64,25.04,4.77,25,41,19,OFF,2026-05-19 00:29:09
p2,51.22,38.12,5.88,86,26,43,ON,2026-05-19 00:29:14
p2,73.42,16.67,6.78,69,92,30,OFF,2026-05-19 00:29:14
p3,58.2,29.89,4.54,40,79,99,OFF,2026-05-19 00:29:18
p1,56.12,34.15,6.89,0,64,19,ON,2026-05-19 00:29:27
p1,69.92,30.72,4.31,26,44,66,OFF,2026-05-19 00:29:28
p1,69.19,19.8,5.73,23,8,54,ON,2026-05-19 00:29:37
p3,67.33,21.83,4,97,84,76,OFF,2026-05-19 00:29:39
p1,69.08,20.59,5.83,10,68,39,OFF,2026-05-19 00:29:40
p2,75.49,22.16,4.68,93,21,63,OFF,2026-05-19 00:29:41
p1,57.83,30.58,4.65,87,51,19,OFF,2026-05-19 00:29:43
p1,80,16.98,6.08,75,66,77,OFF,2026-05-19 00:29:43
p3,64.09,30.98,6.37,59,6,66,OFF,2026-05-19 00:29:44
p1,63.57,26.55,4.48,81,31,50,ON,2026-05-19 00:29:45
p3,63.34,27.44,7.48,31,5,7,OFF,2026-05-19 00:29:47
p2,56.88,33.07,5.55,83,12,54,ON,2026-05-19 00:29:54
p3,69.84,23.89,5.83,66,7,5,OFF,2026-05-19 00:29:54
p2,73.49,27.13,6.29,58,0,84,OFF,2026-05-19 00:29:56
p3,56.33,31.68,7.03,41,18,58,OFF,2026-05-19 00:30:00
p3,74.74,16.88,7.78,35,54,53,OFF,2026-05-19 00:30:05
p3,58.08,33.77,5.79,72,62,69,OFF,2026-05-19 00:30:06
p1,51.21,37.59,4.44,19,34,13,OFF,2026-05-19 00:30:11
p1,68.38,25.42,7.21,37,85,69,OFF,2026-05-19 00:30:13
p1,51.81,37.07,4,60,53,49,OFF,2026-05-19 00:30:15
p2,70.35,31.91,4.32,100,98,69,OFF,2026-05-19 00:30:22
p3,49.63,35.42,4.7,25,0,27,OFF,2026-05-19 00:30:22
p3,45.21,39.59,4.55,34,7,23,OFF,2026-05-19 00:30:24
p1,57.47,29.22,4.8,16,92,57,ON,2026-05-19 00:30:24
p3,68.11,19.1,4.47,90,40,17,OFF,2026-05-19 00:30:25
p1,48.17,36.04,7.05,58,71,63,ON,2026-05-19 00:30:26
p3,62.1,34.78,4.22,31,71,32,OFF,2026-05-19 00:30:28
p1,80,15.13,7.29,66,61,93,OFF,2026-05-19 00:30:31
p1,51.16,37.44,4,40,67,27,ON,2026-05-19 00:30:31
p1,66.39,31.28,4.34,43,84,50,OFF,2026-05-19 00:30:40
p3,53.09,31.49,5.97,27,2,6,OFF,2026-05-19 00:30:47
p3,50.17,35.8,7.58,11,20,31,OFF,2026-05-19 00:30:48
p1,75.44,19.51,6.56,31,43,55,OFF,2026-05-19 00:30:49
p3,54.11,38.76,7.53,29,47,86,ON,2026-05-19 00:30:49
p1,52.97,35.14,4.13,11,92,6,OFF,2026-05-19 00:30:54
p3,58.18,29.19,4.34,70,84,32,OFF,2026-05-19 00:30:57
p2,56.15,34.08,5.71,60,31,66,OFF,2026-05-19 00:30:58
p2,46.7,38.63,5.82,94,45,92,ON,2026-05-19 00:31:00
p1,76.04,23.09,6.92,22,94,61,OFF,2026-05-19 00:31:00
p1,57.1,29.48,6.6,98,8,83,OFF,2026-05-19 00:31:07
p2,62.1,33.62,5.58,61,51,51,OFF,2026-05-19 00:31:08
p3,72.27,28.83,4,21,1,58,OFF,2026-05-19 00:31:13
p2,76.88,20.47,6.07,44,38,71,OFF,2026-05-19 00:31:16
p2,72.73,26.78,5.28,24,15,64,OFF,2026-05-19 00:31:16
p2,51.25,37.54,4.65,82,50,93,OFF,2026-05-19 00:31:17
p3,77.42,18.01,4,77,95,5,OFF,2026-05-19 00:31:18
p3,61.78,31.33,4,69,32,31,OFF,2026-05-19 00:31:26
p3,78.67,19.05,7.96,8,16,93,OFF,2026-05-19 00:31:29
p1,65.17,31.68,5.03,24,10,13,OFF,2026-05-19 00:31:34
p1,76.65,20.8,7.35,58,55,5,ON,2026-05-19 00:31:35
p1,61.72,28.09,4,86,78,68,OFF,2026-05-19 00:31:36
p1,74.25,18.65,6.07,3,2,33,OFF,2026-05-19 00:31:38
p2,47.17,38.75,4.76,49,76,28,OFF,2026-05-19 00:31:41
p3,51.26,39.87,5.7,35,14,73,OFF,2026-05-19 00:31:47
p2,57.89,35.14,4,72,77,70,ON,2026-05-19 00:31:47
p1,47.89,38.91,4.02,95,57,86,OFF,2026-05-19 00:31:51
p2,70.68,25.17,6.89,40,23,87,OFF,2026-05-19 00:31:55
p2,58.49,39.67,6.06,99,3,98,OFF,2026-05-19 00:31:56
p1,55.58,27.27,7.87,11,55,85,ON,2026-05-19 00:31:56
p3,52.77,37.05,5.3,2,63,1,OFF,2026-05-19 00:31:57
p1,79,15.97,6.52,26,62,14,OFF,2026-05-19 00:32:00
p3,72.89,20.1,7.43,52,12,30,OFF,2026-05-19 00:32:04
p1,72.7,27.97,7.36,19,93,18,OFF,2026-05-19 00:32:05
p2,80,17.13,4,58,64,86,OFF,2026-05-19 00:32:08
p3,49.43,38.39,4.25,25,7,12,OFF,2026-05-19 00:32:08
p2,80,15.76,7.79,27,14,47,OFF,2026-05-19 00:32:12
p3,73.24,16.67,4.76,31,47,24,OFF,2026-05-19 00:32:12
p3,74.12,33.19,4,100,72,1,OFF,2026-05-19 00:32:19
p2,60.86,35.6,7.38,39,55,50,OFF,2026-05-19 00:32:19
p1,62.73,28.31,5.88,30,25,58,ON,2026-05-19 00:32:20
p3,72.52,17.21,4,85,28,99,OFF,2026-05-19 00:32:24
p3,70.9,31.14,5.12,21,25,50,OFF,2026-05-19 00:32:27
p3,74.28,15.57,5.1,99,76,25,OFF,2026-05-19 00:32:33
p1,73.31,21.33,4.82,50,86,82,OFF,2026-05-19 00:32:33
p2,71.5,27.38,4,63,4,9,OFF,2026-05-19 00:32:34
p2,46.57,39.79,8.01,24,30,78,ON,2026-05-19 00:32:35
p2,55.96,36.74,7.93,7,45,82,OFF,2026-05-19 00:32:37
p1,57.81,29.85,5.98,28,57,75,ON,2026-05-19 00:32:41
p1,80,19.44,4.97,77,93,56,OFF,2026-05-19 00:32:43
p3,80,20.71,4,46,81,80,OFF,2026-05-19 00:32:46
p2,64.62,29.49,5.88,3,70,46,OFF,2026-05-19 00:32:47
p1,58.5,31.46,4.45,41,22,23,OFF,2026-05-19 00:32:47
p3,61.56,29.89,7.64,58,42,90,OFF,2026-05-19 00:32:48
p1,57.39,32.16,6.01,93,53,58,OFF,2026-05-19 00:32:49
p3,61.35,38.82,5.92,86,74,8,OFF,2026-05-19 00:32:51
p1,59.66,28.87,4,62,100,34,OFF,2026-05-19 00:32:53
p2,80,17.41,6.04,64,98,1,OFF,2026-05-19 00:32:54
p1,62.62,28.45,4,99,16,65,OFF,2026-05-19 00:32:55
p1,75.77,18.98,4.96,28,5,48,OFF,2026-05-19 00:32:56
p1,64.37,25.34,7.61,65,62,36,ON,2026-05-19 00:33:01
p2,56.29,37.68,5.29,60,33,83,OFF,2026-05-19 00:33:03
p2,67.33,21.14,5.49,88,63,7,OFF,2026-05-19 00:33:08
p2,65.74,22.4,4,54,8,4,OFF,2026-05-19 00:33:08
p3,67.25,16.51,4,60,39,8,OFF,2026-05-19 00:33:09
p3,74.56,20.55,4,68,78,82,OFF,2026-05-19 00:33:12
p1,56.29,36.69,6.55,95,81,81,OFF,2026-05-19 00:33:21
p3,77.88,15.54,5.61,82,11,46,OFF,2026-05-19 00:33:22
p1,67.91,28.77,7.67,1,71,51,ON,2026-05-19 00:33:22
p1,54.94,36.3,5.98,20,42,52,ON,2026-05-19 00:33:22
p3,64.1,29.27,4,90,38,92,OFF,2026-05-19 00:33:26
p1,53.69,36.87,5.33,75,81,51,ON,2026-05-19 00:33:34
p1,60.96,23.97,4,98,100,88,OFF,2026-05-19 00:33:36
p1,66.29,29.5,6.73,44,15,29,OFF,2026-05-19 00:33:38
p3,77.99,17.3,8.54,3,81,5,OFF,2026-05-19 00:33:42
p1,52.91,39.3,4,62,52,62,OFF,2026-05-19 00:33:48
p1,60.3,28.9,5.67,32,65,37,ON,2026-05-19 00:33:52
p2,58.6,33.08,4,53,37,46,OFF,2026-05-19 00:33:54
p1,65.75,23.09,7.05,46,12,66,OFF,2026-05-19 00:33:55
p1,75.67,15.31,6.3,87,34,29,OFF,2026-05-19 00:33:59
p2,57.88,36.24,5.26,1,31,17,OFF,2026-05-19 00:34:01
p3,57.27,33.73,5.63,26,87,81,OFF,2026-05-19 00:34:03
p2,62.58,31.1,8.22,21,23,14,ON,2026-05-19 00:34:03
p1,65.51,27.35,6.56,96,13,13,OFF,2026-05-19 00:34:05
p3,77.46,16.24,4.02,71,33,67,OFF,2026-05-19 00:34:07
p2,80,17.45,5.9,44,81,70,OFF,2026-05-19 00:34:08
p3,54.57,33.6,7.24,10,30,3,OFF,2026-05-19 00:34:09
p2,53,35.44,6.96,1,50,74,ON,2026-05-19 00:34:10
p2,56.84,33.42,5.48,92,43,99,ON,2026-05-19 00:34:11
p3,60.59,30.29,4.82,40,61,0,OFF,2026-05-19 00:34:12
p2,48.34,36.78,7.56,27,40,65,ON,2026-05-19 00:34:12
p1,58.71,30.59,4,80,97,14,ON,2026-05-19 00:34:13
p1,78.33,16.48,5.93,93,23,68,OFF,2026-05-19 00:34:14
p2,69.83,19,4,43,33,65,ON,2026-05-19 00:34:16
p3,76.25,15.08,4.26,3,39,30,OFF,2026-05-19 00:34:17
p2,54.04,35.67,4.56,80,88,59,OFF,2026-05-19 00:34:19
p3,56.67,35.96,6.09,30,55,30,ON,2026-05-19 00:34:19
p2,48.43,38.07,4,34,13,14,OFF,2026-05-19 00:34:20
p3,64.74,19.46,4,71,34,48,OFF,2026-05-19 00:34:22
p3,55.23,37,7.32,83,43,30,OFF,2026-05-19 00:34:22
p1,57.23,31.84,4.15,55,63,14,OFF,2026-05-19 00:34:27
p2,50.42,31.86,7.05,12,15,92,ON,2026-05-19 00:34:33
p2,64.22,23.97,6.18,4,33,38,OFF,2026-05-19 00:34:35
p1,80,18.35,4.55,51,84,22,OFF,2026-05-19 00:34:36
p3,67.51,30.74,8.43,4,49,55,OFF,2026-05-19 00:34:37
p2,42.96,39.28,4,94,52,84,OFF,2026-05-19 00:34:40
p1,53.65,33.95,4.43,21,74,2,ON,2026-05-19 00:34:45
p2,57.67,36.1,6.33,89,58,21,OFF,2026-05-19 00:34:50
p2,58.87,34.28,4.45,16,67,49,OFF,2026-05-19 00:34:54
p3,80,15.31,5.15,94,22,6,OFF,2026-05-19 00:34:57
p3,63.39,33.71,4.16,81,45,7,OFF,2026-05-19 00:35:00
p3,60.83,25.62,6.53,21,96,70,OFF,2026-05-19 00:35:00
p2,65.98,24.65,6.83,65,17,33,OFF,2026-05-19 00:35:02
p1,66.15,19.33,7.5,37,52,52,OFF,2026-05-19 00:35:03
p1,68.34,31.45,5.15,26,32,5,OFF,2026-05-19 00:35:05
p2,55.12,38.78,4,94,12,10,OFF,2026-05-19 00:35:06
p1,45.6,36.65,4,37,14,46,OFF,2026-05-19 00:35:11
p1,73,21.18,7.98,8,67,98,OFF,2026-05-19 00:35:14
p1,80,16.19,4.21,100,27,37,OFF,2026-05-19 00:35:20
p2,75.52,19.45,7.55,16,20,6,OFF,2026-05-19 00:35:25
p2,67.16,25.59,5.91,18,45,67,OFF,2026-05-19 00:35:33
p1,70.61,23.49,5.77,31,22,44,OFF,2026-05-19 00:35:35
p1,69.94,20.69,5.04,75,58,70,OFF,2026-05-19 00:35:36
p2,63.81,29.38,5.29,21,86,21,OFF,2026-05-19 00:35:36
p2,76.11,23.67,5.56,94,88,46,OFF,2026-05-19 00:35:36
p1,60.19,38.37,7.57,0,91,1,OFF,2026-05-19 00:35:37
p1,61.68,26.96,4,25,29,90,OFF,2026-05-19 00:35:42
p3,53.75,36.98,8.48,5,82,12,OFF,2026-05-19 00:35:48
p2,74.09,15.84,4,75,40,18,OFF,2026-05-19 00:35:57
p3,55.76,32.49,6.81,52,59,7,OFF,2026-05-19 00:36:09
p2,61.13,37.82,5.9,72,95,72,OFF,2026-05-19 00:36:10
p3,80,17.58,7.78,33,48,15,OFF,2026-05-19 00:36:11
p1,50.26,38.5,4,70,16,67,OFF,2026-05-19 00:36:12
p3,50.16,36.85,8.1,5,97,41,ON,2026-05-19 00:36:13
p2,76.79,16.45,7.31,92,63,6,OFF,2026-05-19 00:36:14
p2,51.17,34.3,6.57,98,42,55,OFF,2026-05-19 00:36:15
p1,50.03,37.3,5.89,39,81,58,OFF,2026-05-19 00:36:17
p1,46.3,39.67,4.11,78,50,35,OFF,2026-05-19 00:36:18
p3,54.23,39.4,4,74,67,76,OFF,2026-05-19 00:36:22
p2,74.45,16.59,4.25,31,36,88,OFF,2026-05-19 00:36:27
p2,64.33,33.91,4.06,22,17,24,OFF,2026-05-19 00:36:27
p3,64.48,33.4,6.87,87,13,99,OFF,2026-05-19 00:36:31
p2,57.75,33.87,4.23,52,59,41,OFF,2026-05-19 00:36:34
p3,76.93,19.63,4,80,19,36,OFF,2026-05-19 00:36:41
p2,62.3,32.77,4,47,14,86,ON,2026-05-19 00:36:41
p1,52.63,37.22,6.99,94,44,94,ON,2026-05-19 00:36:43
p2,54.06,38.27,4,34,93,12,OFF,2026-05-19 00:36:47
p1,49.35,39.43,4,79,67,42,OFF,2026-05-19 00:36:48
p1,63.96,27.42,4,75,63,46,OFF,2026-05-19 00:36:48
p3,54.46,25.9,4,27,14,39,OFF,2026-05-19 00:36:50
p2,79.52,19.16,4.97,23,40,14,OFF,2026-05-19 00:36:53
p1,73.37,17.8,5.9,37,49,89,OFF,2026-05-19 00:36:53
p2,61.28,31.48,4,45,95,75,OFF,2026-05-19 00:36:54
p2,58.75,30.89,6.45,37,60,15,OFF,2026-05-19 00:36:58
p1,65.47,22.39,4.01,56,4,30,OFF,2026-05-19 00:37:01
p3,67.32,21.45,5.41,62,58,50,OFF,2026-05-19 00:37:01
p2,77.82,16.48,5.57,76,7,60,OFF,2026-05-19 00:37:03
p1,79.3,16.26,4,91,7,23,OFF,2026-05-19 00:37:08
p3,43.26,37.53,4,57,13,70,OFF,2026-05-19 00:37:09
p2,57.94,33.38,6.88,70,89,48,OFF,2026-05-19 00:37:10
p2,78.32,21.31,5.8,52,16,17,OFF,2026-05-19 00:37:12
p3,73.49,17.38,7.72,3,17,54,ON,2026-05-19 00:37:15
p2,48.96,34.2,4,60,24,75,OFF,2026-05-19 00:37:16
p2,80,16.42,8.13,0,79,42,OFF,2026-05-19 00:37:16
p3,58.67,36.55,4.94,79,98,38,OFF,2026-05-19 00:37:19
p2,74.12,24.15,6.95,64,84,20,OFF,2026-05-19 00:37:19
p1,62.02,29.51,7.32,82,20,16,OFF,2026-05-19 00:37:23
p1,65.07,27.94,4.06,71,8,3,OFF,2026-05-19 00:37:31
p3,57.87,33.95,4,49,40,99,OFF,2026-05-19 00:37:33
p2,56.18,39.86,4,40,10,14,OFF,2026-05-19 00:37:33
p2,55.18,34.44,4,72,1,91,ON,2026-05-19 00:37:34
p1,73.63,22.58,4.27,70,1,63,OFF,2026-05-19 00:37:35
p3,49.27,35.64,5.19,57,50,83,ON,2026-05-19 00:37:43
p1,67.67,21.7,4,89,51,67,OFF,2026-05-19 00:37:45
p1,80,17.22,5.32,63,52,94,OFF,2026-05-19 00:37:48
p1,74.19,20.19,5.27,10,80,72,OFF,2026-05-19 00:37:48
p3,71.08,17.33,4.58,27,77,76,OFF,2026-05-19 00:37:52
p2,74.97,24.1,7.32,70,86,31,OFF,2026-05-19 00:37:53
p3,74.03,15.08,4,88,100,96,OFF,2026-05-19 00:37:53
p3,62.95,32.13,5.53,46,31,95,OFF,2026-05-19 00:37:53
p1,51.9,36.13,4,49,3,48,OFF,2026-05-19 00:37:55
p1,57.6,33.52,4.67,73,31,56,OFF,2026-05-19 00:37:59
p3,73.91,19.25,6.89,37,49,59,OFF,2026-05-19 00:38:03
p2,68.37,22.62,4,53,32,9,OFF,2026-05-19 00:38:09
p1,80,15.97,4.18,16,48,26,OFF,2026-05-19 00:38:09
p2,58.45,35.54,8.3,15,14,15,OFF,2026-05-19 00:38:23
p2,56.73,33.71,7.17,32,47,76,OFF,2026-05-19 00:38:23
p3,68.67,21.79,6.3,42,25,61,OFF,2026-05-19 00:38:28
p2,80,17.53,7.77,20,32,37,OFF,2026-05-19 00:38:29
p2,67.6,23.98,4,54,16,51,OFF,2026-05-19 00:38:33
p1,65.33,19.1,4,59,4,16,OFF,2026-05-19 00:38:34
p2,44.19,38.59,5.4,68,38,58,ON,2026-05-19 00:38:34
p1,63.24,27.47,4,19,99,21,OFF,2026-05-19 00:38:35
p3,73.36,19.84,5.5,46,29,83,OFF,2026-05-19 00:38:37
p2,77.31,19.83,7.57,14,73,37,ON,2026-05-19 00:38:39
p3,77.65,19.88,8.25,31,37,14,OFF,2026-05-19 00:38:42
p2,49.08,36.59,5.53,28,28,51,ON,2026-05-19 00:38:44
p2,52.95,30.14,6.81,78,84,70,ON,2026-05-19 00:38:47
p2,76.23,17.11,4.46,53,66,93,OFF,2026-05-19 00:38:47
p2,76.42,20.77,4.43,33,28,2,OFF,2026-05-19 00:38:49
p3,72.72,20.06,7.4,52,29,46,OFF,2026-05-19 00:38:51
p2,57.8,35.08,7.55,37,28,5,ON,2026-05-19 00:38:51
p3,72.36,23.28,5.64,56,92,71,OFF,2026-05-19 00:38:58
p2,74.19,18.41,7.49,7,97,12,OFF,2026-05-19 00:39:06
p2,73.69,23.79,5.41,34,78,35,OFF,2026-05-19 00:39:07
p2,55.97,34.17,5.25,12,45,18,OFF,2026-05-19 00:39:09
p2,61.95,23.92,4,97,89,76,OFF,2026-05-19 00:39:13
p2,54.01,35.59,5.15,58,14,74,ON,2026-05-19 00:39:15
p1,78.75,23.04,7.02,55,19,39,OFF,2026-05-19 00:39:16
p1,60.6,34,4.05,23,4,33,OFF,2026-05-19 00:39:17
p2,52.31,39.63,6.29,8,0,13,OFF,2026-05-19 00:39:17
p1,80,16.93,7.66,5,12,24,OFF,2026-05-19 00:39:18
